"ID","Gene","TO_annotation","TO_ID"
"20164","GRMZM2G142820","days to flowering trait","TO:0000344"
"20165","GRMZM2G142820","days to silk","TO:0000658"
"20166","GRMZM2G163998","plant growth and development trait","TO:0000357"
"20167","GRMZM2G163998","plant phenological trait","TO:0000933"
"20168","GRMZM2G163998","flowering time trait","TO:0002616"
"20169","GRMZM2G163998","days to flowering trait","TO:0000344"
"20170","GRMZM2G163998","days to silk","TO:0000658"
"20171","GRMZM2G019246","plant growth and development trait","TO:0000357"
"20172","GRMZM2G019246","plant phenological trait","TO:0000933"
"20173","GRMZM2G019246","flowering time trait","TO:0002616"
"20174","GRMZM2G019246","days to flowering trait","TO:0000344"
"20175","GRMZM2G019246","days to silk","TO:0000658"
"20176","GRMZM2G319138","plant growth and development trait","TO:0000357"
"20177","GRMZM2G319138","plant phenological trait","TO:0000933"
"20178","GRMZM2G319138","flowering time trait","TO:0002616"
"20179","GRMZM2G319138","days to flowering trait","TO:0000344"
"20180","GRMZM2G319138","days to silk","TO:0000658"
"20181","GRMZM2G076602","flowering time trait","TO:0002616"
"20182","GRMZM2G076602","days to flowering trait","TO:0000344"
"20183","GRMZM2G076602","days to silk","TO:0000658"
"20184","GRMZM2G018485","plant growth and development trait","TO:0000357"
"20185","GRMZM2G018485","plant phenological trait","TO:0000933"
"20186","GRMZM2G018485","flowering time trait","TO:0002616"
"20187","GRMZM2G018485","days to flowering trait","TO:0000344"
"20188","GRMZM2G018485","days to silk","TO:0000658"
"20189","GRMZM2G159393","plant growth and development trait","TO:0000357"
"20190","GRMZM2G159393","plant phenological trait","TO:0000933"
"20191","GRMZM2G159393","flowering time trait","TO:0002616"
"20192","GRMZM2G159393","days to flowering trait","TO:0000344"
"20193","GRMZM2G159393","days to silk","TO:0000658"
"20194","GRMZM2G052515","flowering time trait","TO:0002616"
"20195","GRMZM2G052515","days to flowering trait","TO:0000344"
"20196","GRMZM2G052515","days to silk","TO:0000658"
"20197","GRMZM2G034155","plant growth and development trait","TO:0000357"
"20198","GRMZM2G034155","plant phenological trait","TO:0000933"
"20199","GRMZM2G034155","flowering time trait","TO:0002616"
"20200","GRMZM2G034155","days to flowering trait","TO:0000344"
"20201","GRMZM2G034155","days to silk","TO:0000658"
"20202","GRMZM2G142680","flowering time trait","TO:0002616"
"20203","GRMZM2G142680","days to flowering trait","TO:0000344"
"20204","GRMZM2G142680","days to silk","TO:0000658"
"20205","GRMZM2G159811","flowering time trait","TO:0002616"
"20206","GRMZM2G159811","days to flowering trait","TO:0000344"
"20207","GRMZM2G159811","days to silk","TO:0000658"
"20208","GRMZM2G070111","flowering time trait","TO:0002616"
"20209","GRMZM2G070111","days to flowering trait","TO:0000344"
"20210","GRMZM2G070111","days to silk","TO:0000658"
"20211","GRMZM2G159720","days to flowering trait","TO:0000344"
"20212","GRMZM2G159720","days to silk","TO:0000658"
"20213","GRMZM2G159675","days to flowering trait","TO:0000344"
"20214","GRMZM2G159675","days to silk","TO:0000658"
"20215","GRMZM2G176998","flowering time trait","TO:0002616"
"20216","GRMZM2G176998","days to flowering trait","TO:0000344"
"20217","GRMZM2G176998","days to silk","TO:0000658"
"20218","GRMZM2G015406","plant growth and development trait","TO:0000357"
"20219","GRMZM2G015406","plant phenological trait","TO:0000933"
"20220","GRMZM2G015406","flowering time trait","TO:0002616"
"20221","GRMZM2G015406","days to flowering trait","TO:0000344"
"20222","GRMZM2G015406","days to silk","TO:0000658"
"20223","GRMZM2G077951","flowering time trait","TO:0002616"
"20224","GRMZM2G077951","days to flowering trait","TO:0000344"
"20225","GRMZM2G077951","days to silk","TO:0000658"
"20226","GRMZM2G000973","plant growth and development trait","TO:0000357"
"20227","GRMZM2G000973","plant phenological trait","TO:0000933"
"20228","GRMZM2G000973","flowering time trait","TO:0002616"
"20229","GRMZM2G000973","days to flowering trait","TO:0000344"
"20230","GRMZM2G000973","days to silk","TO:0000658"
"20231","GRMZM2G004957","plant growth and development trait","TO:0000357"
"20232","GRMZM2G004957","plant phenological trait","TO:0000933"
"20233","GRMZM2G004957","flowering time trait","TO:0002616"
"20234","GRMZM2G004957","days to flowering trait","TO:0000344"
"20235","GRMZM2G004957","days to silk","TO:0000658"
"20236","GRMZM2G005024","plant growth and development trait","TO:0000357"
"20237","GRMZM2G005024","plant phenological trait","TO:0000933"
"20238","GRMZM2G005024","flowering time trait","TO:0002616"
"20239","GRMZM2G005024","days to flowering trait","TO:0000344"
"20240","GRMZM2G005024","days to silk","TO:0000658"
"20241","GRMZM2G131611","plant growth and development trait","TO:0000357"
"20242","GRMZM2G131611","plant phenological trait","TO:0000933"
"20243","GRMZM2G131611","flowering time trait","TO:0002616"
"20244","GRMZM2G131611","days to flowering trait","TO:0000344"
"20245","GRMZM2G131611","days to silk","TO:0000658"
"20246","GRMZM2G157313","days to flowering trait","TO:0000344"
"20247","GRMZM2G157313","days to silk","TO:0000658"
"20248","GRMZM2G015886","plant growth and development trait","TO:0000357"
"20249","GRMZM2G015886","plant phenological trait","TO:0000933"
"20250","GRMZM2G015886","flowering time trait","TO:0002616"
"20251","GRMZM2G015886","days to flowering trait","TO:0000344"
"20252","GRMZM2G015886","days to silk","TO:0000658"
"20253","GRMZM2G412207","plant growth and development trait","TO:0000357"
"20254","GRMZM2G412207","plant phenological trait","TO:0000933"
"20255","GRMZM2G412207","flowering time trait","TO:0002616"
"20256","GRMZM2G412207","days to flowering trait","TO:0000344"
"20257","GRMZM2G412207","days to silk","TO:0000658"
"20258","GRMZM2G385989","plant growth and development trait","TO:0000357"
"20259","GRMZM2G385989","plant phenological trait","TO:0000933"
"20260","GRMZM2G385989","flowering time trait","TO:0002616"
"20261","GRMZM2G385989","photoperiod-sensitive flowering time trait","TO:0000934"
"20262","GRMZM2G177792","plant growth and development trait","TO:0000357"
"20263","GRMZM2G177792","plant phenological trait","TO:0000933"
"20264","GRMZM2G177792","flowering time trait","TO:0002616"
"20265","GRMZM2G177792","photoperiod-sensitive flowering time trait","TO:0000934"
"20266","GRMZM2G147390","plant growth and development trait","TO:0000357"
"20267","GRMZM2G147390","plant structure growth and development trait","TO:0000928"
"20268","GRMZM2G147390","shoot system growth and development trait","TO:0000654"
"20269","GRMZM2G147390","inflorescence development trait","TO:0006027"
"20270","GRMZM2G147390","inflorescence branching","TO:0000050"
"20271","GRMZM2G147390","inflorescence branch arrangement","TO:0002751"
"20272","GRMZM2G147424","plant structure growth and development trait","TO:0000928"
"20273","GRMZM2G147424","shoot system growth and development trait","TO:0000654"
"20274","GRMZM2G147424","inflorescence development trait","TO:0006027"
"20275","GRMZM2G147424","inflorescence branching","TO:0000050"
"20276","GRMZM2G147424","inflorescence branch arrangement","TO:0002751"
"20277","GRMZM2G147475","plant structure growth and development trait","TO:0000928"
"20278","GRMZM2G147475","shoot system growth and development trait","TO:0000654"
"20279","GRMZM2G147475","inflorescence development trait","TO:0006027"
"20280","GRMZM2G147475","inflorescence branching","TO:0000050"
"20281","GRMZM2G147475","inflorescence branch arrangement","TO:0002751"
"20282","GRMZM2G155991","plant growth and development trait","TO:0000357"
