"ID","gene","GO_id"
"301","GRMZM2G022252","GO:0016853"
"302","GRMZM2G022252","GO:0000105"
"303","GRMZM2G161913","GO:0016020"
"304","GRMZM2G161913","GO:0005515"
"305","GRMZM2G402341","GO:0005515"
"306","GRMZM2G022258","GO:0008565"
"307","GRMZM2G022258","GO:0005643"
"308","GRMZM2G022258","GO:0005488"
"309","GRMZM2G022258","GO:0005829"
"310","GRMZM5G841855","GO:0004435"
"311","GRMZM5G841855","GO:0005515"
"312","GRMZM2G016677","GO:0005509"
"313","GRMZM2G016677","GO:0015979"
"314","GRMZM2G016671","GO:0005737"
"315","GRMZM2G016671","GO:0005634"
"316","GRMZM2G016671","GO:0000166"
"317","GRMZM2G016671","GO:0005524"
"318","GRMZM5G864001","GO:0005515"
"319","GRMZM2G126447","GO:0004221"
"320","GRMZM2G126443","GO:0005515"
"321","GRMZM2G074496","GO:0043531"
"322","GRMZM2G324544","GO:0005773"
"323","GRMZM2G324544","GO:0005774"
"324","GRMZM2G324544","GO:0005886"
"325","GRMZM2G126852","GO:0005525"
"326","GRMZM2G324540","GO:0005730"
"327","GRMZM2G324540","GO:0005618"
"328","GRMZM2G324540","GO:0005634"
"329","GRMZM2G324540","GO:0000151"
"330","GRMZM2G324540","GO:0042742"
"331","GRMZM2G324540","GO:0005515"
"332","GRMZM2G324540","GO:0046686"
"333","GRMZM2G324540","GO:0004842"
"334","GRMZM2G458776","GO:0016758"
"335","GRMZM2G524937","GO:0005515"
"336","GRMZM2G133213","GO:0004128"
"337","GRMZM2G133213","GO:0005783"
"338","GRMZM2G133213","GO:0005886"
"339","AC198506.3_FG001","GO:0005622"
"340","GRMZM2G410812","GO:0005737"
"341","GRMZM2G410812","GO:0009408"
"342","GRMZM2G410812","GO:0005507"
"343","GRMZM2G410812","GO:0005739"
"344","AC209768.3_FG005","GO:0005634"
"345","GRMZM2G000670","GO:0016747"
"346","GRMZM5G819384","GO:0005739"
"347","GRMZM2G141332","GO:0005515"
"348","GRMZM2G141333","GO:0005515"
"349","GRMZM5G869403","GO:0070062"
"350","GRMZM5G869403","GO:0000145"
"351","GRMZM5G869403","GO:0005634"
