"moduleID","gene#","genelist"
"14","201","LOC_Os01g14700 LOC_Os08g03070 LOC_Os02g40710 LOC_Os04g30270 LOC_Os02g32770 LOC_Os04g58680 LOC_Os10g09150 LOC_Os02g37500 LOC_Os02g53250 LOC_Os11g30060 LOC_Os01g71710 LOC_Os06g44970 LOC_Os05g44990 LOC_Os08g09800 LOC_Os04g09590 LOC_Os06g21920 LOC_Os03g15680 "
"140","13","LOC_Os06g23210 LOC_Os05g08410 LOC_Os11g34800 LOC_Os06g11060 LOC_Os09g33882 LOC_Os09g36982 LOC_Os05g48650 LOC_Os01g42990 LOC_Os11g11370 LOC_Os10g41050 LOC_Os10g37230 LOC_Os02g18090 LOC_Os03g21800"
"141","13","LOC_Os06g10580 LOC_Os03g15430 LOC_Os12g08180 LOC_Os02g03090 LOC_Os01g52560 LOC_Os03g10450.2 LOC_Os01g65350 LOC_Os11g01220 LOC_Os01g70580 LOC_Os06g28590 LOC_Os12g09220 LOC_Os02g43430 LOC_Os02g57610"
"142","13","LOC_Os05g05980 LOC_Os01g53450 LOC_Os07g03110 LOC_Os01g58754 LOC_Os02g35940 LOC_Os01g16810 LOC_Os02g49720 LOC_Os11g10480 LOC_Os01g42250 LOC_Os08g25140 LOC_Os05g35970 LOC_Os07g46280 LOC_Os02g01760"
"143","13","LOC_Os06g49770 LOC_Os01g71170 LOC_Os03g04240 LOC_Os03g08790 LOC_Os07g32660 LOC_Os01g55150 LOC_Os05g33690 LOC_Os03g06570 LOC_Os04g52880 LOC_Os09g31370 LOC_Os06g39750 LOC_Os01g43610 LOC_Os06g48160"
"144","13","LOC_Os09g12240 LOC_Os08g01760 LOC_Os06g51410 LOC_Os03g56590 LOC_Os01g67550 LOC_Os01g66180 LOC_Os03g44190 LOC_Os01g52450 LOC_Os11g35340 LOC_Os12g01480 LOC_Os09g25330 LOC_Os03g16150 LOC_Os07g22710"
"145","13","LOC_Os11g42540 LOC_Os01g56510 LOC_Os01g59920 LOC_Os07g08140 LOC_Os05g51190 LOC_Os01g48060 LOC_Os01g12900 LOC_Os06g51160 LOC_Os03g11320 LOC_Os06g33549 LOC_Os11g19730 LOC_Os07g42380 LOC_Os01g54990"
"146","13","LOC_Os12g03700 LOC_Os06g12870 LOC_Os06g49680 LOC_Os08g28030 LOC_Os05g47510 LOC_Os09g39780 LOC_Os05g10670 LOC_Os06g05750 LOC_Os02g04740 LOC_Os06g44140 LOC_Os08g01859 LOC_Os06g50520 LOC_Os07g49280"
"147","13","LOC_Os06g15330 LOC_Os05g43760 LOC_Os04g25740 LOC_Os08g13430 LOC_Os05g10310 LOC_Os09g36680 LOC_Os03g04570 LOC_Os01g38610 LOC_Os06g08580 LOC_Os03g63950 LOC_Os06g08570 LOC_Os03g04680 LOC_Os06g23274"
"148","13","LOC_Os07g19030 LOC_Os01g16340 LOC_Os05g06510 LOC_Os10g21360 LOC_Os05g12170 LOC_Os06g44230 LOC_Os03g06190 LOC_Os01g54050 LOC_Os03g15290 LOC_Os09g24460 LOC_Os06g47930 LOC_Os07g40700 LOC_Os02g30410"
"149","13","LOC_Os03g13770 LOC_Os11g02320 LOC_Os02g23930 LOC_Os05g07260 LOC_Os02g12360 LOC_Os01g10050 LOC_Os02g35150 LOC_Os03g51220 LOC_Os02g19220 LOC_Os06g29400 LOC_Os01g61930 LOC_Os02g09170 LOC_Os03g11260"
"15","194","LOC_Os03g44944 LOC_Os03g49960 LOC_Os04g56530 LOC_Os01g34780 LOC_Os04g14510 LOC_Os12g13590 LOC_Os07g29360 LOC_Os01g55300 LOC_Os03g10400 LOC_Os02g46450 LOC_Os03g57300 LOC_Os01g07490 LOC_Os05g50434 LOC_Os03g11200 LOC_Os10g41590 LOC_Os07g46180 LOC_Os04g43140 "
